content,date,user_name
Such an iconic place to visit.,1 week ago,Scott Kleinberg
There was puke And  all over the stairs as we were leaving. It was dangerous. They turned off the escalators as we were leaving and wouldn't let us use the . Stairs  and dangerous,1 week ago,Asta Lukosevicius
"Great spot for ,  and other events.",2 weeks ago,Sara 🌈⚔🍾
Much closer to the court than I thought! Drinks are also more  than I expected!,January 13,ともりん
What a great experience watching the Bucks vs Knicks court side!!!!!,January 7,Janet Koehler Ifbb Pro
"At NY Rangers, NY Knicks, and NY Liberty games - wave at drone-blimp ""AirCam One"" to see yourself on the Jumbotron!",January 2,Chris Banuchi
Take the  this is excellent I really recommend  you,"December 31, 2016",Luis Guillermo Luna
Amazing venue for  and . Box seats are clutch,"December 2, 2016",Christian Trapp
Nicks Hawks,"November 20, 2016",Mujdat Guler
UFC 205 was an amazing Event.,"November 15, 2016",C. Lee Navarro
Two - 12 foot Ornamental Rings suspended from the ceiling welcome visitors to Madison Square Garden. The Knicks  ornament display is 8 feet tall. The Rangers skate display is 9 foot tall.,"November 11, 2016",American Christmas
Very tight security - no outside food and drinks allowed.,"October 18, 2016",Elizabeth Lee
Top Guided  through the Building! 👍,"October 14, 2016",etti wieauchimmer
I hate this venue for . It's the worst! It's also hard to get around even with the signs,"October 10, 2016",Tracy Solorzano
go rangers!,"October 7, 2016",David Molnar
Wonderful indoor . They could use some new food and drink vendors though. Also not sure why tickets to everything are so .,"September 29, 2016",Ben Gasparini
That was just awesome!!,"September 21, 2016",Murat Gonul
An iconic building.,"September 14, 2016",Michael Holdsworth
Solid venue for rock !,"September 9, 2016",Jason S.
On Sunday August 28th 2016. The 2016 VMA Video  Awards were held here.  - Formation won The Video Of The Year Award.,"August 29, 2016",JRA
Some schools have their NYU graduation ceremonies here! ,"August 17, 2016",HashtagNYU
,"August 17, 2016",HashtagNYU
"The mass with Pope Francis in September was amazing!!!! The line took more than 2 hours, but it was worth the wait. God bless our Popes !!!","August 2, 2016",K13 NYC
", ","July 21, 2016",Lisa Smeraldi
Theres like a  of  of events all around this ,"July 11, 2016",Booie
Shockingly good  for an arena.  are great here.,"July 7, 2016",Allison Kasic
Classic venue,"July 3, 2016",Anne
Amazing arena,"June 28, 2016",Julio Villarespe
Nice  with . Seriously,"June 28, 2016",Deb
It so nice!,"June 21, 2016",Zaboca Fruit
Great. Place to watch a ,"June 14, 2016",Jacque Stauffer
June 23rd: This is not a drill. Amy Schumer is headlining at Madison Square Garden. We repeat: This is not a drill. ,"June 2, 2016",PureWow
I enjoy the game a lot,"May 9, 2016",Eliknahy Alvarez
amazing renovation!! is this really MSG??,"April 22, 2016",Joseph V. Alati
 and games,"April 15, 2016",Juan Benavides
"Good venue for  and  games, but sadly prevents a nicer Penn Station","April 13, 2016",Jason
