content,date,location_name,user_name
"Make sure to explore aimlessly, so many fun routes",2 days ago,Central Park,Hector A Parayuelos
The best ,1 week ago,Central Park,Alfonso Espinosa
Amazing!!!!,2 weeks ago,Central Park,Maria Tarazona
north west side is less ,2 weeks ago,Central Park,Alejandra Bonola
", running, , ",3 weeks ago,Central Park,Meghan McGee
I love it!,12-Jan,Central Park,Rosa Hidalgo
Really nice place in such huge megacity,26-Dec-16,Central Park,Serhii Lutsko
On Dec 10th The Apple Store provided a respite from the cold snowy winter eve for any and all. We were grateful for their cheery kindness. 5th Ave retailers- take note! Kindness does brand wonders.,24-Dec-16,Central Park,Pam & Jay
I just cannot get enough of this amazing ...!,21-Dec-16,Central Park,Fotini🎈
My favorite place in Central Park is  hill at  in the summertime! #bowbridge,15-Dec-16,Central Park,Matty Boss
Always good for a walkthru in the daytime.,14-Dec-16,Central Park,James John (Jay) Cudney IV
Charmanders everywhere!!,13-Dec-16,Central Park,Josue Soto
"Winter, Spring, Summer, or Fall... Fave place in the city. Colorful tulips,  quartets, running paths, autumn leaves. Wouldn't recommend coming here late at night however.",13-Dec-16,Central Park,Jackie Napalan
"Took a  while on wheels, Damn I'm going to be in pain tonight, but I'm doing it all again tomorrow.",7-Dec-16,Central Park,Dew Citi
Central Park was one of the more wished for places throughout 2015’s I Want Somewhere holiday campaign. Where’s your somewhere? Enter to win a bucket list experience. ,6-Dec-16,Central Park,Staff Picks
It's such a big ! Didn't know was that big. I could enjoy a nice night rainy day.  relax,5-Dec-16,Central Park,Santiago Vitale
Great to catch Pokemon lol,29-Nov-16,Central Park,Josue Soto
Amazing place to get away from city life !,26-Nov-16,Central Park,Hana Felemban
Catch some pokemons,20-Nov-16,Central Park,Rita L
I don't think Central Park needs a review to stand out. Hands down one of the famous  of New York and rightfully so. We really lucked out as the weather was lovely.,19-Nov-16,Central Park,Malek Almutairi
You don't have to go far into the  to feel like you're out of the bustle.,13-Nov-16,Central Park,Brenton Bleechmore
Best !,13-Nov-16,Central Park,JoAnne Kao
"Feels like you're not even in the city anymore, nice break from all the hustle and bustle",11-Nov-16,Central Park,Amanda Schaefer
Run Run Run,7-Nov-16,Central Park,nestor antenucci
Try to visit Central Park during different seasons of the year if you're from outta town!,5-Nov-16,Central Park,Gaston B
We toke a  by bicycle 🚲 it's very large ,5-Nov-16,Central Park,Abdullah Alalawla
Worlds greatest ,3-Nov-16,Central Park,Abdullah Alhamoud
"Nice, big and !",1-Nov-16,Central Park,Juan C. Hurtado Dominguez
Love coming here in the fall. Walk around the reservoir or hang out in sheeps meadow.,31-Oct-16,Central Park,Natalie Vegel
Awesome skyline 🌃,29-Oct-16,Central Park,Hazal Ciccone
What's could be better than having  at Central Park in a sunny day?  Do it.,27-Oct-16,Central Park,Francesca Spadaro
"It's freaking massive and beautiful and green! Can spend all day walking, sitting, , , and wandering aimlessly",27-Oct-16,Central Park,Liana Fong
A must visit for NYC. Such a relaxing  to walk around.,21-Oct-16,Central Park,Elizabeth Lee
"New Yorkers�?most popular nature oasis has no shortage of  and  to take in majestic  of oaks, , and elms with varying shades of yellow, , and red leaves. ",20-Oct-16,Central Park,Rally by Eventbrite
Take something to eat and have a  by one of the .,18-Oct-16,Central Park,Caddebostan English Academy Caddebostan
Love here!,18-Oct-16,Central Park,Gizem Asker
Central Park and chillin,18-Oct-16,Central Park,nova naomi
Amazing place. Rent a  (20$/2 hours) and drive here - you will definitely enjoy!,13-Oct-16,Central Park,Kirill Mazur
There are some awesome  lores here. It's prime area for pokemon go.,8-Oct-16,Central Park,funky flavor
A unique experience each time you visit.,6-Oct-16,Central Park,Gabriel Pierce
"It takes 40 minutes running from north to south part. Wow, a huge and wonderful .",4-Oct-16,Central Park,Iyut Wahyudin
I love this place,4-Oct-16,Central Park,Susy Grison
The best place ever,4-Oct-16,Central Park,Susy Grison
Without the hordes of  the place would be marvelous!,3-Oct-16,Central Park,Stefan Herbert
Great place to visit and ! I strongly recommend!!,30-Sep-16,Central Park,Alex Philip
"Rent a  and explore the , you'll find amazing things and it's an incredible experience.",30-Sep-16,Central Park,Andrea Faggiani
Cool place I agree with others  it would be nice,29-Sep-16,Central Park,Rashid Ateeq
Plan to spend a whole day here on your first trip! Even after stopping by multiple times there is always something new to see.,28-Sep-16,Central Park,Lauren Alexa
Very beautiful and an active place!! Take a whole day to walk through to see and enjoy everything!!,28-Sep-16,Central Park,Sarah LeVasseur
Great place !!! Run and relaxing,27-Sep-16,Central Park,P-PGM
", a  and great  in the middle of the city.",27-Sep-16,Central Park,Brent Joel
Navigation via street lamps: first two digits indicate the closest cross street; the second two tells you if you're east (even #s) or west (odd #s).,26-Sep-16,Central Park,Emily K.
